iter	Passed	Remaining
591	40945	47308
592	41006	47230
593	41069	47153
594	41132	47077
595	41211	47019
596	41279	46949
597	41348	46880
598	41406	46797
599	41469	46721
600	41540	46655
601	41605	46581
602	41672	46510
603	41738	46437
604	41801	46362
605	41877	46299
606	41935	46218
607	42002	46147
608	42066	46072
609	42138	46006
610	42208	45938
611	42273	45864
612	42336	45789
613	42401	45716
614	42470	45646
615	42530	45568
616	42606	45506
617	42672	45434
618	42742	45366
619	42801	45286
620	42864	45211
621	42927	45136
622	42993	45063
623	43061	44993
624	43124	44918
625	43189	44845
626	43255	44773
627	43326	44705
628	43394	44636
629	43457	44561
630	43530	44496
631	43598	44426
632	43661	44351
633	43724	44275
634	43788	44201
635	43852	44128
636	43916	44054
637	43987	43987
638	44058	43920
639	44128	43852
640	44199	43785
641	44259	43708
642	44321	43631
643	44389	43562
644	44457	43492
645	44525	43422
646	44592	43351
647	44659	43280
648	44726	43210
649	44803	43149
650	44870	43078
651	44937	43007
652	45009	42941
653	45077	42872
654	45153	42809
655	45221	42740
656	45290	42671
657	45360	42602
658	45419	42525
659	45487	42454
660	45558	42388
661	45622	42314
662	45690	42244
663	45763	42179
664	45824	42103
665	45893	42034
666	45955	41959
667	46016	41883
668	46081	41810
669	46154	41745
670	46216	41670
671	46287	41603
672	46349	41528
673	46411	41453
674	46477	41381
675	46537	41305
676	46606	41236
677	46678	41170
678	46741	41097
679	46809	41027
680	46871	40952
681	46935	40879
682	47005	40811
683	47068	40738
684	47137	40669
685	47200	40595
686	47261	40519
687	47318	40440
688	47381	40366
689	47453	40300
690	47526	40236
691	47593	40165
692	47657	40093
693	47720	40019
694	47792	39953
695	47861	39884
696	47925	39811
697	47990	39739
698	48055	39668
699	48119	39595
700	48174	39515
701	48249	39451
702	48315	39381
703	48381	39310
704	48452	39243
705	48519	39173
706	48593	39108
707	48664	39041
708	48737	38975
709	48810	38910
710	48877	38840
711	48943	38770
712	49020	38707
713	49095	38643
714	49163	38574
715	49233	38506
716	49303	38439
717	49373	38370
718	49442	38302
719	49519	38240
720	49591	38173
721	49664	38108
722	49725	38033
723	49791	37962
724	49862	37895
725	49920	37818
726	49989	37750
727	50053	37677
728	50125	37611
729	50193	37542
730	50260	37471
731	50326	37401
732	50389	37327
733	50449	37253
734	50514	37181
735	50583	37113
736	50647	37040
737	50712	36969
738	50780	36900
739	50848	36830
740	50910	36756
741	50976	36686
742	51047	36619
743	51114	36549
744	51183	36481
745	51244	36407
746	51312	36337
747	51378	36267
748	51445	36197
749	51516	36130
750	51580	36058
751	51646	35987
752	51715	35919
753	51781	35848
754	51843	35775
755	51911	35706
756	51980	35637
757	52053	35572
758	52126	35506
759	52190	35434
760	52245	35356
761	52323	35294
762	52391	35225
763	52459	35156
764	52521	35082
765	52594	35017
766	52660	34946
767	52722	34873
768	52787	34802
769	52846	34728
770	52911	34656
771	52974	34584
772	53039	34513
773	53111	34447
774	53175	34375
775	53248	34309
776	53320	34242
777	53383	34171
778	53449	34100
779	53514	34029
780	53581	33960
781	53655	33894
782	53719	33823
783	53794	33758
784	53857	33686
785	53925	33617
786	53995	33550
787	54069	33484
788	54144	33420
789	54209	33349
790	54282	33283
791	54354	33216
792	54417	33144
793	54488	33077
794	54548	33003
795	54617	32934
796	54678	32861
797	54749	32794
798	54811	32722
799	54881	32654
800	54942	32581
801	55011	32513
802	55075	32441
803	55150	32377
804	55222	32310
805	55285	32238
806	55347	32166
807	55411	32094
808	55472	32022
809	55544	31955
810	55618	31889
811	55687	31821
812	55765	31758
813	55826	31685
814	55895	31616
815	55968	31550
816	56035	31481
817	56112	31417
818	56181	31348
819	56242	31276
820	56311	31208
821	56381	31140
822	56451	31072
823	56525	31006
824	56598	30940
825	56667	30871
826	56730	30800
827	56785	30724
828	56849	30653
829	56913	30582
830	56983	30514
831	57060	30450
832	57131	30383
833	57199	30314
834	57269	30246
835	57336	30177
836	57408	30110
837	57478	30042
838	57559	29980
839	57634	29914
840	57698	29843
841	57762	29773
842	57834	29706
843	57905	29638
844	57976	29571
845	58050	29505
846	58119	29437
847	58185	29367
848	58253	29298
849	58319	29228
850	58381	29156
851	58445	29085
852	58519	29019
853	58590	28952
854	58654	28881
855	58729	28815
856	58800	28748
857	58861	28676
858	58926	28605
859	58987	28533
860	59052	28462
861	59116	28392
862	59164	28314
863	59230	28244
864	59295	28173
865	59353	28100
866	59420	28030
867	59478	27957
868	59547	27889
869	59624	27824
870	59693	27756
871	59764	27688
872	59833	27620
873	59893	27548
874	59957	27477
875	60028	27410
876	60098	27342
877	60168	27274
878	60238	27206
879	60315	27141
880	60386	27074
881	60472	27013
882	60548	26948
883	60616	26879
884	60688	26812
885	60770	26749
886	60850	26686
887	60927	26621
888	61003	26555
889	61120	26508
890	61218	26452
891	61294	26386
892	61369	26320
893	61468	26265
894	61566	26208
895	61668	26154
896	61750	26090
897	61839	26030
898	61923	25967
899	62002	25903
900	62083	25839
901	62161	25774
902	62233	25706
903	62329	25648
904	62412	25585
905	62518	25531
906	62611	25472
907	62684	25405
908	62774	25344
909	62862	25283
910	62954	25223
911	63045	25162
912	63131	25100
913	63235	25045
914	63369	25001
915	63490	24952
916	63600	24899
917	63688	24837
918	63786	24778
919	63880	24718
920	63964	24655
921	64074	24601
922	64165	24540
923	64245	24474
924	64322	24407
925	64404	24342
926	64490	24279
927	64579	24217
928	64672	24156
929	64747	24088
930	64807	24015
931	64881	23947
932	64963	23882
933	65043	23816
934	65121	23750
935	65196	23682
936	65293	23622
937	65376	23557
938	65463	23494
939	65540	23427
940	65611	23358
941	65681	23288
942	65744	23216
943	65811	23145
944	65880	23075
945	65943	23003
946	66013	22933
947	66083	22864
948	66150	22793
949	66221	22724
950	66296	22656
951	66365	22586
952	66427	22514
953	66499	22445
954	66563	22373
955	66624	22301
956	66696	22232
957	66779	22166
958	66843	22095
959	66914	22025
960	66977	21954
961	67046	21884
962	67120	21815
963	67191	21746
964	67253	21674
965	67328	21606
966	67395	21535
967	67462	21465
968	67534	21396
969	67602	21326
970	67674	21257
971	67745	21187
972	67821	21120
973	67886	21049
974	67948	20976
975	68025	20909
976	68087	20837
977	68156	20767
978	68227	20698
979	68295	20628
980	68365	20558
981	68440	20490
982	68505	20419
983	68574	20349
984	68624	20273
985	68688	20202
986	68745	20129
987	68819	20060
988	68886	19990
989	68949	19918
990	69018	19848
991	69086	19778
992	69158	19709
993	69227	19640
994	69298	19570
995	69364	19500
996	69437	19431
997	69509	19362
998	69580	19292
999	69646	19222
1000	69709	19150
1001	69783	19082
1002	69857	19014
1003	69926	18944
1004	69992	18873
1005	70065	18804
1006	70129	18733
1007	70198	18663
1008	70260	18592
1009	70321	18520
1010	70391	18450
